title;content;start_date;end_date;location;organizer;price_regular;price_reduced;status;category;tags;featured_image_url
Kinderdisco - Tanzen für Kids;Bunte Lichter, tolle Musik und jede Menge Spaß für Kinder von 6-12 Jahren.;2026-06-07 15:00:00;2026-06-07 18:00:00;Großer Saal;Kulturhaus Osterfeld;8.00;8.00;upcoming;Kinderveranstaltungen;Kinder,Disco,Tanz;https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=800
Fotografie-Ausstellung: Schwarz-Weiß;Meisterwerke der Schwarz-Weiß-Fotografie von lokalen Künstlern.;2026-06-10 14:00:00;2026-07-10 18:00:00;Galerie;Fotoclub Pforzheim;0.00;0.00;upcoming;Ausstellungen;Fotografie,Kunst;https://images.unsplash.com/photo-1452587925148-ce544e77e70d?w=800
Blues Brothers - Musical;Das Kult-Musical mit den besten Songs der Blues Brothers. Ein Muss für Fans!;2026-06-25 19:30:00;2026-06-25 22:00:00;Hauptbühne;Musical Theater;48.00;38.00;upcoming;Theater,Musical;Musical,Blues,Show;https://images.unsplash.com/photo-1507676184212-d03ab07a01bf?w=800
Kochkurs: Italienische Küche;Lernen Sie die Geheimnisse der italienischen Küche kennen. Inklusive Essen und Wein.;2026-06-16 18:00:00;2026-06-16 22:00:00;Kochstudio;Kochschule Bella Italia;65.00;55.00;upcoming;Workshop;Kochen,Italien,Kulinarik;https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=800
Hip-Hop Battle - Street Dance;Die besten Breakdancer der Region treten gegeneinander an. Jury und Publikumspreis.;2026-06-21 19:00:00;2026-06-21 23:00:00;Großer Saal;Street Dance Crew;12.00;10.00;upcoming;Tanz;Hip-Hop,Breakdance,Battle;https://images.unsplash.com/photo-1547153760-18fc9498041f?w=800
Klassisches Ballett: Schwanensee;Tschaikowskys Meisterwerk aufgeführt vom Staatlichen Ballett. Unvergesslich schön.;2026-07-05 19:00:00;2026-07-05 22:00:00;Hauptbühne;Staatsballett;55.00;42.00;upcoming;Theater,Tanz;Ballett,Klassik;https://images.unsplash.com/photo-1518834107812-67b0b7c58434?w=800
Mittelaltermarkt;Tauchen Sie ein in die Welt des Mittelalters. Mit Gauklern, Rittern und Handwerkern.;2026-06-27 10:00:00;2026-06-28 20:00:00;Außengelände;Mittelalterverein;8.00;5.00;upcoming;Markt,Festival;Mittelalter,Familie;https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800
Improvisationstheater;Spontanes Theater ohne Drehbuch. Das Publikum bestimmt die Handlung!;2026-06-11 20:00:00;2026-06-11 22:00:00;Kleiner Saal;Impro-Truppe Pforzheim;15.00;12.00;upcoming;Theater,Comedy;Impro,Comedy;https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800
Reggae Night - Caribbean Vibes;Entspannte Reggae-Rhythmen und karibisches Flair. Mit Live-Band.;2026-06-26 21:00:00;2026-06-27 02:00:00;Club;Reggae Club;18.00;15.00;upcoming;Konzerte,Party;Reggae,Caribbean;https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=800
Science Slam - Wissenschaft unterhaltsam;Wissenschaftler präsentieren ihre Forschung auf unterhaltsame Weise. Publikum wählt den Sieger.;2026-06-17 19:00:00;2026-06-17 21:30:00;Hörsaal;Universität Pforzheim;10.00;8.00;upcoming;Bildung;Wissenschaft,Slam;https://images.unsplash.com/photo-1532094349884-543bc11b234d?w=800
Akustik-Abend: Singer-Songwriter;Intime Konzerte mit talentierten Singer-Songwritern aus der Region.;2026-05-31 20:00:00;2026-05-31 23:00:00;Café;Kulturcafé;12.00;10.00;upcoming;Konzerte;Akustik,Singer-Songwriter;https://images.unsplash.com/photo-1510915361894-db8b60106cb1?w=800
Zauberer-Show: Magic Night;Professionelle Zauberer präsentieren verblüffende Illusionen. Für Jung und Alt.;2026-06-13 19:00:00;2026-06-13 21:00:00;Großer Saal;Magic Entertainment;22.00;16.00;upcoming;Show;Zauberei,Magie,Familie;https://images.unsplash.com/photo-1519834785169-98be25ec3f84?w=800
Tango Argentino - Milonga;Authentischer argentinischer Tango. Für Tänzer und Zuschauer.;2026-06-19 20:00:00;2026-06-20 01:00:00;Tanzsaal;Tango Club;15.00;12.00;upcoming;Tanz;Tango,Argentinien;https://images.unsplash.com/photo-1508807526345-15e9b5f4eaff?w=800
Karaoke Night - Sing deinen Hit;Zeig dein Gesangstalent! Professionelle Karaoke-Anlage und große Songauswahl.;2026-06-23 20:00:00;2026-06-23 23:30:00;Bar;Karaoke Bar;5.00;5.00;upcoming;Party;Karaoke,Gesang;https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800
Puppentheater: Kasperle rettet die Prinzessin;Klassisches Puppentheater für Kinder ab 3 Jahren. Mit viel Humor und Spannung.;2026-06-09 15:00:00;2026-06-09 16:00:00;Puppenbühne;Puppentheater Pforzheim;10.00;8.00;upcoming;Kinderveranstaltungen;Puppentheater,Kinder;https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800
Graffiti-Workshop;Lerne die Kunst des Graffiti von professionellen Street-Artists. Material inklusive.;2026-06-15 14:00:00;2026-06-15 18:00:00;Außengelände;Street Art Collective;35.00;28.00;upcoming;Workshop;Graffiti,Street-Art,Kunst;https://images.unsplash.com/photo-1499781350541-7783f6c6a0c8?w=800
Operngala - Die schönsten Arien;Weltberühmte Opernarien gesungen von internationalen Stars.;2026-07-08 19:30:00;2026-07-08 22:00:00;Hauptbühne;Staatsoper;62.00;48.00;upcoming;Konzerte;Oper,Klassik;https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800
Flamenco-Nacht;Leidenschaftlicher Flamenco mit spanischen Tänzern und Gitarristen.;2026-06-28 20:00:00;2026-06-28 23:00:00;Großer Saal;Flamenco Ensemble;28.00;22.00;upcoming;Tanz,Konzerte;Flamenco,Spanien;https://images.unsplash.com/photo-1508807526345-15e9b5f4eaff?w=800
Bierfest - Craft Beer Festival;Über 100 verschiedene Craft-Biere zum Probieren. Mit Live-Musik.;2026-07-15 16:00:00;2026-07-15 23:00:00;Außengelände;Brauerei-Verband;15.00;15.00;upcoming;Festival;Bier,Kulinarik;https://images.unsplash.com/photo-1436076863939-06870fe779c2?w=800
Pantomime-Show;Weltklasse-Pantomime ohne Worte. Lustig, berührend, unvergesslich.;2026-06-24 19:00:00;2026-06-24 20:30:00;Kleiner Saal;Pantomime Theater;18.00;14.00;upcoming;Theater;Pantomime,Show;https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800
Gitarren-Workshop: Fingerpicking;Lerne die Technik des Fingerpickings von einem Profi. Eigene Gitarre mitbringen.;2026-06-22 14:00:00;2026-06-22 18:00:00;Musikraum;Musikschule;40.00;32.00;upcoming;Workshop;Gitarre,Musik;https://images.unsplash.com/photo-1510915361894-db8b60106cb1?w=800
Swing Dance Night - Lindy Hop;Tanzen wie in den 1920ern. Mit Live-Swing-Band und Tanzlehrer.;2026-07-02 20:00:00;2026-07-02 23:30:00;Tanzsaal;Swing Club;16.00;13.00;upcoming;Tanz;Swing,Lindy-Hop;https://images.unsplash.com/photo-1504609773096-104ff2c73ba4?w=800
Krimi-Dinner: Mord im Schloss;Interaktives Dinner-Theater. Wer ist der Mörder? 3-Gänge-Menü inklusive.;2026-07-03 19:00:00;2026-07-03 23:00:00;Restaurant;Krimi-Theater GmbH;75.00;65.00;upcoming;Theater;Krimi,Dinner;https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800
Akrobatik-Show: Cirque du Soleil Style;Atemberaubende Akrobatik und Artistik auf höchstem Niveau.;2026-07-06 19:30:00;2026-07-06 21:30:00;Großer Saal;Acrobatic Arts;38.00;28.00;upcoming;Show;Akrobatik,Artistik;https://images.unsplash.com/photo-1520095972714-909e91b038e5?w=800
Elektro-Swing Party;Moderne Beats treffen auf Swing-Klassiker. Tanzen garantiert!;2026-07-09 21:00:00;2026-07-10 03:00:00;Club;Electro Swing Club;18.00;15.00;upcoming;Party;Electro-Swing,Tanz;https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=800
Märchenerzähler-Abend;Professionelle Märchenerzähler entführen in fantastische Welten. Für Erwachsene.;2026-07-04 20:00:00;2026-07-04 22:00:00;Bibliothek;Erzählkunst e.V.;12.00;10.00;upcoming;Literatur;Märchen,Erzählung;https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800
Drum Circle - Gemeinsam trommeln;Jeder kann mitmachen! Trommeln werden gestellt. Keine Vorkenntnisse nötig.;2026-07-07 18:00:00;2026-07-07 20:00:00;Musikraum;Percussion Workshop;15.00;12.00;upcoming;Workshop;Percussion,Musik;https://images.unsplash.com/photo-1519892300165-cb5542fb47c7?w=800
Vintage-Markt;Retro-Mode, Vinyl-Platten und Vintage-Möbel. Für Liebhaber des Besonderen.;2026-07-11 11:00:00;2026-07-11 18:00:00;Außengelände;Vintage Collective;3.00;3.00;upcoming;Markt;Vintage,Retro;https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
Beatbox-Battle;Die besten Beatboxer der Region im Wettstreit. Publikum entscheidet!;2026-07-12 19:00:00;2026-07-12 22:00:00;Kleiner Saal;Beatbox Community;10.00;8.00;upcoming;Show;Beatbox,Hip-Hop;https://images.unsplash.com/photo-1547153760-18fc9498041f?w=800
Klassik für Kinder - Peter und der Wolf;Musikalisches Märchen für Kinder ab 5 Jahren. Mit Erzähler und Orchester.;2026-07-13 15:00:00;2026-07-13 16:30:00;Konzertsaal;Jugendorchester;14.00;10.00;upcoming;Kinderveranstaltungen,Konzerte;Klassik,Kinder,Märchen;https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=800
